C?digo ?mbito,?mbito,C?digo ?rea (FAO),?rea,C?digo Elemento,Elemento,C?digo Producto (FAO),Producto,C?digo a?o,A?o,Unidad,Valor,S?mbolo,Descripci?n del S?mbolo
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1961","1961","toneladas","20098","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1962","1962","toneladas","21816","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1963","1963","toneladas","19238","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1964","1964","toneladas","17395","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1965","1965","toneladas","17270","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1966","1966","toneladas","19051","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1967","1967","toneladas","24166","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1968","1968","toneladas","30689","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1969","1969","toneladas","32543","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1970","1970","toneladas","33089","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1971","1971","toneladas","28650","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1972","1972","toneladas","34816","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1973","1973","toneladas","30295","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1974","1974","toneladas","38168","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1975","1975","toneladas","35886","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1976","1976","toneladas","35478","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1977","1977","toneladas","42350","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1978","1978","toneladas","28627","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1979","1979","toneladas","24488","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1980","1980","toneladas","33201","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1981","1981","toneladas","31224","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1982","1982","toneladas","12949","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1983","1983","toneladas","10755","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1984","1984","toneladas","20092","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1985","1985","toneladas","28456","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1986","1986","toneladas","28348","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1987","1987","toneladas","27595","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1988","1988","toneladas","33031","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1989","1989","toneladas","26117","Fc","Datos calculados"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1990","1990","toneladas","27621","Im","Datos de FAO basados en una metodolog?a de imputaci?n"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1991","1991","toneladas","37080","Im","Datos de FAO basados en una metodolog?a de imputaci?n"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1992","1992","toneladas","27601","Im","Datos de FAO basados en una metodolog?a de imputaci?n"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1993","1993","toneladas","16318","Im","Datos de FAO basados en una metodolog?a de imputaci?n"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1994","1994","toneladas","13215","Im","Datos de FAO basados en una metodolog?a de imputaci?n"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1995","1995","toneladas","13608","Im","Datos de FAO basados en una metodolog?a de imputaci?n"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1996","1996","toneladas","17140","Im","Datos de FAO basados en una metodolog?a de imputaci?n"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1997","1997","toneladas","9826","Im","Datos de FAO basados en una metodolog?a de imputaci?n"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1998","1998","toneladas","9744","Im","Datos de FAO basados en una metodolog?a de imputaci?n"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","1999","1999","toneladas","9500","*","Cifras no oficiales"
"QCL","Cultivos y productos de ganader?a","44","Colombia","5510","Producci?n","331","Aceite, algod?n","2000","2000","toneladas","7500","*","Cifras no oficiales"
