adm0_id;DEPARTAMENTO;MUNICIPIO;PRODUCTO;MONEDA;MES;ANO;PRECIO
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2006;1.133
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2006;1.133
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2007;998
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2007;998
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2008;1.250
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2008;1.250
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2009;1.620
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2009;1.620
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2010;1.525
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2010;1.525
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2011;1.731
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2011;1.731
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2012;1.843
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2012;1.843
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2013;2.260
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2013;2.260
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2014;1.933
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2014;1.933
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2015;2.590
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2015;2.590
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2016;2.890
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2016;2.890
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2017;2.550
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2017;2.550
57.0;Antioquia;Medellin;Avocados - Retail;COP;1;2018;2.910
57.0;Antioquia;Medellin;Avocados - Retail;COP;12;2018;2.910
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2006;1.133
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2006;1.133
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2007;998
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2007;998
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2008;1.250
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2008;1.250
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2009;1.620
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2009;1.620
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2010;1.525
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2010;1.525
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2011;1.731
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2011;1.731
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2012;1.843
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2012;1.843
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2013;2.260
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2013;2.260
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2014;1.933
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2014;1.933
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2015;2.590
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2015;2.590
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2016;2.890
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2016;2.890
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2017;2.550
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2017;2.550
57.0;Bolivar;Cartagena;Avocados - Retail;COP;1;2018;2.910
57.0;Bolivar;Cartagena;Avocados - Retail;COP;12;2018;2.910
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2006;1.133
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2006;1.133
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2007;998
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2007;998
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2008;1.250
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2008;1.250
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2009;1.620
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2009;1.620
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2010;1.525
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2010;1.525
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2011;1.731
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2011;1.731
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2012;1.843
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2012;1.843
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2013;2.260
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2013;2.260
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2014;1.933
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2014;1.933
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2015;2.590
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2015;2.590
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2016;2.890
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2016;2.890
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2017;2.550
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2017;2.550
57.0;Boyaca;Tunja;Avocados - Retail;COP;1;2018;2.910
57.0;Boyaca;Tunja;Avocados - Retail;COP;12;2018;2.910
57.0;Caldas;Manizales;Avocados - Retail;COP;1;2006;1.133
