DEPARTAMENTO;MUNICIPIO;PRODUCTO;MONEDA;MES;ANO;PRECIO
Antioquia;Medellin;Avocados - Retail;COP;1;2006;1.133
Antioquia;Medellin;Avocados - Retail;COP;12;2006;1.133
Antioquia;Medellin;Avocados - Retail;COP;1;2007;998
Antioquia;Medellin;Avocados - Retail;COP;12;2007;998
Antioquia;Medellin;Avocados - Retail;COP;1;2008;1.250
Antioquia;Medellin;Avocados - Retail;COP;12;2008;1.250
Antioquia;Medellin;Avocados - Retail;COP;1;2009;1.620
Antioquia;Medellin;Avocados - Retail;COP;12;2009;1.620
Antioquia;Medellin;Avocados - Retail;COP;1;2010;1.525
Antioquia;Medellin;Avocados - Retail;COP;12;2010;1.525
Antioquia;Medellin;Avocados - Retail;COP;1;2011;1.731
Antioquia;Medellin;Avocados - Retail;COP;12;2011;1.731
Antioquia;Medellin;Avocados - Retail;COP;1;2012;1.843
Antioquia;Medellin;Avocados - Retail;COP;12;2012;1.843
Antioquia;Medellin;Avocados - Retail;COP;1;2013;2.260
Antioquia;Medellin;Avocados - Retail;COP;12;2013;2.260
Antioquia;Medellin;Avocados - Retail;COP;1;2014;1.933
Antioquia;Medellin;Avocados - Retail;COP;12;2014;1.933
Antioquia;Medellin;Avocados - Retail;COP;1;2015;2.590
Antioquia;Medellin;Avocados - Retail;COP;12;2015;2.590
Antioquia;Medellin;Avocados - Retail;COP;1;2016;2.890
Antioquia;Medellin;Avocados - Retail;COP;12;2016;2.890
Antioquia;Medellin;Avocados - Retail;COP;1;2017;2.550
Antioquia;Medellin;Avocados - Retail;COP;12;2017;2.550
Antioquia;Medellin;Avocados - Retail;COP;1;2018;2.910
Antioquia;Medellin;Avocados - Retail;COP;12;2018;2.910
Bolivar;Cartagena;Avocados - Retail;COP;1;2006;1.133
Bolivar;Cartagena;Avocados - Retail;COP;12;2006;1.133
Bolivar;Cartagena;Avocados - Retail;COP;1;2007;998
Bolivar;Cartagena;Avocados - Retail;COP;12;2007;998
Bolivar;Cartagena;Avocados - Retail;COP;1;2008;1.250
Bolivar;Cartagena;Avocados - Retail;COP;12;2008;1.250
Bolivar;Cartagena;Avocados - Retail;COP;1;2009;1.620
Bolivar;Cartagena;Avocados - Retail;COP;12;2009;1.620
Bolivar;Cartagena;Avocados - Retail;COP;1;2010;1.525
Bolivar;Cartagena;Avocados - Retail;COP;12;2010;1.525
Bolivar;Cartagena;Avocados - Retail;COP;1;2011;1.731
Bolivar;Cartagena;Avocados - Retail;COP;12;2011;1.731
Bolivar;Cartagena;Avocados - Retail;COP;1;2012;1.843
Bolivar;Cartagena;Avocados - Retail;COP;12;2012;1.843
Bolivar;Cartagena;Avocados - Retail;COP;1;2013;2.260
Bolivar;Cartagena;Avocados - Retail;COP;12;2013;2.260
Bolivar;Cartagena;Avocados - Retail;COP;1;2014;1.933
Bolivar;Cartagena;Avocados - Retail;COP;12;2014;1.933
Bolivar;Cartagena;Avocados - Retail;COP;1;2015;2.590
Bolivar;Cartagena;Avocados - Retail;COP;12;2015;2.590
Bolivar;Cartagena;Avocados - Retail;COP;1;2016;2.890
Bolivar;Cartagena;Avocados - Retail;COP;12;2016;2.890
Bolivar;Cartagena;Avocados - Retail;COP;1;2017;2.550
Bolivar;Cartagena;Avocados - Retail;COP;12;2017;2.550
Bolivar;Cartagena;Avocados - Retail;COP;1;2018;2.910
Bolivar;Cartagena;Avocados - Retail;COP;12;2018;2.910
Boyaca;Tunja;Avocados - Retail;COP;1;2006;1.133
Boyaca;Tunja;Avocados - Retail;COP;12;2006;1.133
Boyaca;Tunja;Avocados - Retail;COP;1;2007;998
Boyaca;Tunja;Avocados - Retail;COP;12;2007;998
Boyaca;Tunja;Avocados - Retail;COP;1;2008;1.250
Boyaca;Tunja;Avocados - Retail;COP;12;2008;1.250
Boyaca;Tunja;Avocados - Retail;COP;1;2009;1.620
Boyaca;Tunja;Avocados - Retail;COP;12;2009;1.620
Boyaca;Tunja;Avocados - Retail;COP;1;2010;1.525
Boyaca;Tunja;Avocados - Retail;COP;12;2010;1.525
Boyaca;Tunja;Avocados - Retail;COP;1;2011;1.731
Boyaca;Tunja;Avocados - Retail;COP;12;2011;1.731
Boyaca;Tunja;Avocados - Retail;COP;1;2012;1.843
Boyaca;Tunja;Avocados - Retail;COP;12;2012;1.843
Boyaca;Tunja;Avocados - Retail;COP;1;2013;2.260
Boyaca;Tunja;Avocados - Retail;COP;12;2013;2.260
Boyaca;Tunja;Avocados - Retail;COP;1;2014;1.933
Boyaca;Tunja;Avocados - Retail;COP;12;2014;1.933
Boyaca;Tunja;Avocados - Retail;COP;1;2015;2.590
Boyaca;Tunja;Avocados - Retail;COP;12;2015;2.590
Boyaca;Tunja;Avocados - Retail;COP;1;2016;2.890
Boyaca;Tunja;Avocados - Retail;COP;12;2016;2.890
Boyaca;Tunja;Avocados - Retail;COP;1;2017;2.550
Boyaca;Tunja;Avocados - Retail;COP;12;2017;2.550
Boyaca;Tunja;Avocados - Retail;COP;1;2018;2.910
Boyaca;Tunja;Avocados - Retail;COP;12;2018;2.910
Caldas;Manizales;Avocados - Retail;COP;1;2006;1.133
Caldas;Manizales;Avocados - Retail;COP;12;2006;1.133
Caldas;Manizales;Avocados - Retail;COP;1;2007;998
Caldas;Manizales;Avocados - Retail;COP;12;2007;998
Caldas;Manizales;Avocados - Retail;COP;1;2008;1.250
Caldas;Manizales;Avocados - Retail;COP;12;2008;1.250
Caldas;Manizales;Avocados - Retail;COP;1;2009;1.620
Caldas;Manizales;Avocados - Retail;COP;12;2009;1.620
Caldas;Manizales;Avocados - Retail;COP;1;2010;1.525
Caldas;Manizales;Avocados - Retail;COP;12;2010;1.525
